grade,hs.college,sex,gpa,exercise,job,rigorous,welcome,school.spirit,different.hs,teachers.accepting,intensity,self.perception,world.perception,recommend,prepared,hum.math,aa,transfer,studying.24,essay.time,hw,start.hw,home.size,household.size,study.home,study.school,hrs.sleep,makeup,outfit,shower,time.morning,commute,first.stress,first.period,hrs.socializing,hrs.social.media,hrs.fb,hrs.instagram,hrs.snapchat,platform,last.fb,last.instagram,last.snapchat,more.followers,hrs.parents,ninth.lunch,tenth.lunch,ninth.responsible,ninth.y2,no.hats,no.hats.feeling,hat.removed,hat.confiscated,target.bullying,friends.bullied,you.bully,teacher.bully,teacher.response,student.response,safety,environmentalist,self.confidence,physical.positive,confidence.interferes,accepted.you,attractive.a,attractive.b,sex.heartbroken,sex.angry,love.heartbroken,love.angry,marijuana,drinking.age.appropriate,ok.underage,random.drug.tests,small.marijuana,glue,drug.use,breakfast.home,breakfast.school,money.food,allowance,hunger,school.lunch,bring.lunch,buy.food,school.lunch.rating,school.lunch.healthy,veg,veg.knowledge,veg.friends,veg.consider
2-10th grade,High school,Male,3.5,14,1,Yes,10,Yes,No,Yes,Yes,6,10,3,7,10,Yes,Yes,5,8,120,Before 8:30 pm,5,4,2,1,7,No,Yes,No,40,40,Yes,Yes,10,5,2,2,4,Snapchat,Past month,Past week,Past 24 hours,No,2,No,Yes,1,Year 2,Yes,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,4,10,7,Yes,Yes,1,4,10,1,6,10,Yes,No,Yes,Yes,No,No,6,Yes,No,10,0,7,No,Yes,3,1,3,No,10,Yes,1
3-Year 1,College,Male,NA,20,0,Yes,10,Yes,Yes,Yes,Yes,10,9,9,7,10,No,Yes,0,3,60,After 8:30 pm,3,4,1,0,7,No,Yes,Yes,62,51,No,Yes,14,7,0,0,7,Snapchat,More than a month ago / never,More than a month ago / never,Past 24 hours,Yes,1,No,No,2,Year 2,Yes,1,Yes,No,No,No,No,No,Yes,Yes,5,5,6,7,Yes,Yes,6,7,10,8,10,6,Yes,No,Yes,Yes,Yes,No,8,No,No,30,50,9,No,Yes,4,1,3,No,4,No,1
3-Year 1,College,Female,3.75,2,5,Yes,7,Yes,No,Yes,Yes,3,7,10,8,1,Yes,Yes,7,5,120,After 8:30 pm,2,5,2,1,6,Yes,No,No,45,90,Yes,Yes,6,14,5,4,1,Facebook,Past month,Past month,Past 24 hours,Yes,7,No,No,1,Year 2,Yes,3,No,No,No,No,No,No,No,Yes,5,6,3,2,No,Yes,8,9,8,10,10,8,No,No,Yes,Yes,No,No,2,Yes,No,20,20,9,No,No,4,2,3,No,9,Yes,2
3-Year 1,College,Male,2.4,7,17,Yes,10,Yes,No,Yes,Yes,10,10,10,7,5,Yes,Yes,4,7,180,After 8:30 pm,2,4,3,4,5.5,No,Yes,Yes,NA,120,Yes,Yes,11,8,2,3,2,NA,More than a month ago / never,Past week,Past 24 hours,No,5,No,No,3,Year 2,Yes,2,Yes,Yes,No,No,No,No,Yes,Yes,5,7,8,7,No,Yes,5,3,10,10,10,10,Yes,No,Yes,Yes,No,No,4,No,No,30,0,6,No,No,5,3,9,No,7,Yes,1
3-Year 1,College,Male,3,2,0,Yes,8,Yes,Yes,Yes,Yes,4,6,7,10,6,Yes,No,5,8,60,Before 8:30 pm,2,3,3,1,5,No,No,Yes,150,50,No,Yes,14,21,2,1,0,NA,Past month,More than a month ago / never,Past week,No,1,No,No,1,Year 2,Yes,1,No,No,No,No,No,No,Yes,Yes,5,3,7,6,Yes,Yes,1,1,3,3,3,3,No,No,Yes,Yes,Yes,No,5,Yes,No,30,0,4,No,Yes,3,1,6,No,3,Yes,1
3-Year 1,College,Male,3,20,4,Yes,10,Yes,No,Yes,Yes,10,10,10,5,10,Yes,Yes,2,3,120,After 8:30 pm,3,5,4,2,2,No,Yes,Yes,65,50,No,Yes,15,7,0,0,7,Snapchat,More than a month ago / never,More than a month ago / never,More than a month ago / never,Yes,4,No,No,2,Year 2,Yes,1,Yes,No,No,No,No,No,Yes,Yes,5,5,6,7,Yes,Yes,7,8,10,8,10,7,Yes,No,No,No,Yes,Yes,1,Yes,Yes,25,50,10,No,Yes,NA,1,1,No,1,Yes,1
3-Year 1,College,Female,NA,5,11,Yes,8,Yes,No,Yes,Yes,9,9,8,6,10,Yes,Yes,6,5,180,After 8:30 pm,2,5,5,2,5,Yes,Yes,Yes,60,60,Yes,Yes,35,25,3,29,20,Instagram,More than a month ago / never,Past week,Past 24 hours,No,6,No,Yes,4,Year 2,Yes,2,Yes,No,No,No,Yes,No,No,Yes,4,5,9,9,No,Yes,3,8,8,10,10,8,Yes,No,Yes,Yes,No,No,6,No,Yes,25,0,4,No,No,4,2,3,No,5,No,5
3-Year 1,College,Female,0,4,3,Yes,7,Yes,No,Yes,Yes,8,8,7,7,5,Yes,Yes,3,7,300,Before 8:30 pm,2,3,5,1,7,Yes,Yes,No,45,20,No,No,12,14,2,5,7,Snapchat,Past month,Past week,Past 24 hours,No,3,No,Yes,4,Year 2,Yes,3,No,No,No,No,No,No,No,Yes,5,4,7,6,No,Yes,4,4,9,9,10,9,Yes,No,Yes,Yes,No,No,8,No,Yes,2,10,6,No,Yes,2,5,5,No,4,No,2
3-Year 1,College,Male,3.2,7,15,Yes,8,Yes,No,Yes,Yes,7,8,9,4,5,Yes,Yes,3,5,150,Before 8:30 pm,2,2,3,1,6,No,Yes,No,120,30,No,Yes,1,10,2,5,3,Instagram,Past 24 hours,Past 24 hours,Past 24 hours,No,3,No,No,1,Year 2,Yes,2,Yes,Yes,No,No,No,No,No,Yes,5,5,8,8,No,Yes,4,3,10,10,10,10,No,Yes,No,Yes,No,No,1,Yes,No,30,NA,10,Yes,Yes,4,5,3,No,4,No,1
3-Year 1,College,Female,3.3,6,1,Yes,8,Yes,No,Yes,Yes,7,7,9,7,2,Yes,Yes,1,3,120,After 8:30 pm,2,3,2,2,5,No,Yes,Yes,20,75,Yes,Yes,6,5,NA,2,9,Facebook,Past 24 hours,Past month,Past 24 hours,Yes,1,No,Yes,6,Year 2,Yes,1,Yes,Yes,No,No,No,No,Yes,Yes,3,3,8,9,Yes,Yes,10,6,9,10,9,10,Yes,No,Yes,No,No,No,5,No,No,50,75,6,No,Yes,5,1,5,No,5,Yes,3
